Loan_ID,Client_ID,Relationship_Manager,Loan_Type,Loan_Amount_EUR,Outstanding_Balance_EUR,Utilization_Rate_Pct,Interest_Rate_Pct,Origination_Date,Maturity_Date,Months_To_Maturity,Sector,Region,Credit_Rating,Days_Past_Due,Risk_Flag,KYC_Last_Review_Date,KYC_Status,Products_Used,Cross_Sell_Score
CORP0193_L3,CORP0193,RM_B,Term Loan,34540000.0,20362700.0,0.0,6.41,2023-09-01,2024-08-26,-17,Healthcare,Nouvelle-Aquitaine,BB,0,Performing,2025-05-21,Valid,"Revolving_Credit,Term_Loan,FX_Hedging",40
CORP0130_L2,CORP0130,RM_D,Revolving Credit,28450000.0,21824800.0,50.99,7.2,2021-11-18,2025-10-28,-2,Transportation,Nouvelle-Aquitaine,AA,0,Performing,2025-09-18,Valid,Cash_Management,80
CORP0248_L1,CORP0248,RM_B,Revolving Credit,28180000.0,19451400.0,72.91,6.91,2023-12-23,2028-11-26,35,Healthcare,Hauts-de-France,A,0,Performing,2023-09-11,Expired,"FX_Hedging,Cash_Management,Term_Loan,Revolving_Credit",20
CORP0438_L3,CORP0438,RM_C,Term Loan,37520000.0,25061700.0,0.0,4.9,2024-10-15,2025-10-10,-3,Manufacturing,Auvergne-Rhône-Alpes,BB,0,Performing,2024-12-10,Valid,"Term_Loan,Revolving_Credit,Trade_Finance",40
CORP0174_L3,CORP0174,RM_D,Term Loan,8460000.0,8280200.0,0.0,5.33,2025-09-01,2026-08-27,8,Real Estate,Provence-Alpes-Côte d'Azur,AA,0,Performing,2025-06-29,Valid,"FX_Hedging,Trade_Finance,Cash_Management",40
CORP0308_L2,CORP0308,RM_C,Term Loan,3670000.0,1956300.0,0.0,4.81,2025-04-01,2030-03-06,51,Energy,Auvergne-Rhône-Alpes,A,0,Performing,2025-02-07,Valid,"Trade_Finance,Term_Loan,Revolving_Credit,Cash_Management",20
CORP0206_L3,CORP0206,RM_E,Revolving Credit,35720000.0,27093000.0,20.8,7.6,2024-09-18,2031-08-13,68,Energy,Occitanie,BBB,0,Performing,2025-04-22,Valid,"Cash_Management,Trade_Finance,Term_Loan",40
CORP0477_L3,CORP0477,RM_A,Revolving Credit,10140000.0,8825600.0,66.14,6.54,2022-11-01,2027-10-06,21,Energy,Auvergne-Rhône-Alpes,BBB,0,Performing,2024-02-29,Expiring Soon,"Trade_Finance,Revolving_Credit,FX_Hedging,Cash_Management",20
CORP0185_L1,CORP0185,RM_C,Term Loan,48790000.0,22058200.0,0.0,4.87,2024-02-24,2028-02-03,25,Technology,Île-de-France,A,0,Performing,2024-03-07,Expiring Soon,Cash_Management,80
CORP0301_L1,CORP0301,RM_C,Term Loan,36980000.0,16314500.0,0.0,7.48,2025-03-11,2030-02-13,50,Manufacturing,Nouvelle-Aquitaine,BBB,0,Performing,2025-08-12,Valid,"Trade_Finance,Cash_Management",60
CORP0469_L3,CORP0469,RM_A,Revolving Credit,17700000.0,15740800.0,54.11,4.92,2024-06-05,2029-05-10,41,Manufacturing,Occitanie,BBB,3,Grace Period,2025-12-19,Valid,FX_Hedging,80
CORP0003_L2,CORP0003,RM_E,Term Loan,20650000.0,9579100.0,0.0,8.18,2025-04-16,2030-03-21,51,Retail,Provence-Alpes-Côte d'Azur,BBB,0,Performing,2023-06-14,Expired,"Term_Loan,Revolving_Credit,Cash_Management",40
CORP0412_L3,CORP0412,RM_E,Revolving Credit,43870000.0,38951700.0,92.45,5.88,2022-06-22,2025-06-06,-7,Healthcare,Occitanie,BB,0,Performing,2023-04-22,Expired,"Trade_Finance,Cash_Management",60
CORP0395_L1,CORP0395,RM_C,Revolving Credit,48080000.0,32468900.0,56.15,4.05,2023-02-11,2028-01-16,25,Real Estate,Provence-Alpes-Côte d'Azur,AA,1,Grace Period,2025-12-16,Valid,"FX_Hedging,Term_Loan,Trade_Finance,Revolving_Credit",20
CORP0196_L3,CORP0196,RM_B,Term Loan,34010000.0,18296000.0,0.0,5.6,2023-12-05,2027-11-14,23,Real Estate,Île-de-France,A,40,Watch List,2025-09-13,Valid,"Cash_Management,Term_Loan,Revolving_Credit",40
CORP0005_L3,CORP0005,RM_C,Revolving Credit,12790000.0,5829800.0,25.7,8.09,2021-12-02,2028-10-26,34,Real Estate,Nouvelle-Aquitaine,BBB,0,Performing,2025-09-22,Valid,"FX_Hedging,Term_Loan,Revolving_Credit,Trade_Finance",20
CORP0244_L2,CORP0244,RM_E,Revolving Credit,11320000.0,8424700.0,88.24,5.49,2024-09-02,2031-07-28,68,Retail,Île-de-France,A,0,Performing,2025-10-04,Valid,"Trade_Finance,Revolving_Credit",60
CORP0103_L1,CORP0103,RM_D,Term Loan,43700000.0,22901700.0,0.0,4.64,2024-07-23,2026-07-13,6,Real Estate,Provence-Alpes-Côte d'Azur,AA,0,Performing,2024-08-16,Valid,"Cash_Management,Term_Loan",60
CORP0399_L1,CORP0399,RM_D,Term Loan,46050000.0,37092700.0,0.0,7.09,2021-12-23,2025-12-02,-1,Real Estate,Provence-Alpes-Côte d'Azur,CCC,0,Performing,2023-08-25,Expired,"Trade_Finance,Cash_Management,FX_Hedging,Revolving_Credit",20
CORP0278_L1,CORP0278,RM_B,Revolving Credit,18870000.0,11119200.0,93.83,8.0,2022-06-23,2025-06-07,-7,Transportation,Provence-Alpes-Côte d'Azur,AAA,0,Performing,2023-08-17,Expired,"Revolving_Credit,FX_Hedging,Trade_Finance",40
CORP0144_L2,CORP0144,RM_D,Term Loan,37630000.0,17947500.0,0.0,5.74,2022-10-01,2026-09-10,8,Healthcare,Occitanie,BB,0,Performing,2024-03-19,Expiring Soon,"Cash_Management,FX_Hedging,Revolving_Credit,Term_Loan",20
CORP0258_L2,CORP0258,RM_B,Revolving Credit,43090000.0,37296200.0,54.51,6.64,2023-02-18,2024-02-13,-23,Technology,Île-de-France,BBB,0,Performing,2025-09-18,Valid,"Cash_Management,Term_Loan,FX_Hedging,Trade_Finance",20
CORP0007_L3,CORP0007,RM_A,Term Loan,19280000.0,8877500.0,0.0,3.62,2023-09-02,2028-08-06,31,Energy,Nouvelle-Aquitaine,B,18,Watch List,2025-05-27,Valid,"Cash_Management,Trade_Finance,FX_Hedging,Revolving_Credit",20
CORP0135_L1,CORP0135,RM_E,Revolving Credit,23830000.0,18297900.0,35.79,6.7,2023-08-24,2025-08-13,-5,Manufacturing,Auvergne-Rhône-Alpes,CCC,0,Performing,2025-09-07,Valid,"Revolving_Credit,FX_Hedging,Cash_Management",40
CORP0191_L2,CORP0191,RM_E,Revolving Credit,14340000.0,7283800.0,81.06,6.82,2024-12-17,2029-11-21,47,Manufacturing,Hauts-de-France,BBB,0,Performing,2023-02-14,Expired,Trade_Finance,80
CORP0412_L1,CORP0412,RM_E,Revolving Credit,42890000.0,22201500.0,33.25,5.5,2024-11-09,2028-10-19,34,Healthcare,Occitanie,BB,0,Performing,2023-04-22,Expired,"Trade_Finance,Cash_Management",60
CORP0458_L3,CORP0458,RM_A,Revolving Credit,39370000.0,22835400.0,27.42,3.48,2022-07-18,2027-06-22,18,Manufacturing,Auvergne-Rhône-Alpes,B,0,Performing,2023-12-13,Expired,"Trade_Finance,Term_Loan,FX_Hedging",40
CORP0111_L2,CORP0111,RM_C,Revolving Credit,42030000.0,19240500.0,62.03,8.09,2023-10-27,2026-10-11,9,Manufacturing,Hauts-de-France,B,0,Performing,2023-07-02,Expired,FX_Hedging,80
CORP0132_L2,CORP0132,RM_B,Term Loan,20880000.0,12750500.0,0.0,5.96,2021-11-20,2026-10-25,10,Retail,Provence-Alpes-Côte d'Azur,B,0,Performing,2025-05-31,Valid,"FX_Hedging,Trade_Finance,Revolving_Credit,Term_Loan",20
CORP0333_L3,CORP0333,RM_B,Term Loan,48980000.0,27956100.0,0.0,7.15,2023-11-16,2030-10-10,58,Transportation,Auvergne-Rhône-Alpes,A,0,Performing,2024-02-29,Expiring Soon,"Trade_Finance,FX_Hedging",60
CORP0229_L1,CORP0229,RM_A,Revolving Credit,30880000.0,20944400.0,89.64,5.03,2024-11-19,2026-11-09,10,Real Estate,Île-de-France,AA,0,Performing,2024-02-06,Expiring Soon,"FX_Hedging,Trade_Finance,Term_Loan,Cash_Management",20
CORP0314_L3,CORP0314,RM_B,Revolving Credit,42520000.0,18828100.0,43.77,4.25,2024-10-15,2027-09-30,21,Healthcare,Provence-Alpes-Côte d'Azur,A,0,Performing,2024-01-17,Expiring Soon,"Revolving_Credit,Trade_Finance,FX_Hedging,Cash_Management",20
CORP0137_L3,CORP0137,RM_B,Revolving Credit,13930000.0,9290500.0,92.41,4.98,2023-08-30,2030-07-24,55,Transportation,Auvergne-Rhône-Alpes,BBB,0,Performing,2024-12-27,Valid,Term_Loan,80
CORP0095_L1,CORP0095,RM_D,Term Loan,36520000.0,29114200.0,0.0,3.12,2025-04-01,2027-03-22,15,Energy,Provence-Alpes-Côte d'Azur,B,0,Performing,2023-03-01,Expired,"Trade_Finance,Term_Loan,Cash_Management,FX_Hedging",20
CORP0033_L2,CORP0033,RM_E,Term Loan,1810000.0,1155200.0,0.0,3.43,2025-03-25,2026-03-20,2,Manufacturing,Provence-Alpes-Côte d'Azur,BBB,0,Performing,2024-03-12,Expiring Soon,"Revolving_Credit,Cash_Management,Term_Loan",40
CORP0336_L2,CORP0336,RM_C,Revolving Credit,11850000.0,9984300.0,59.51,3.52,2023-03-19,2030-02-10,50,Energy,Occitanie,B,0,Performing,2022-12-21,Expired,"Revolving_Credit,Trade_Finance,Term_Loan,FX_Hedging",20
CORP0018_L3,CORP0018,RM_A,Revolving Credit,43090000.0,25643800.0,60.54,4.13,2023-01-10,2026-12-20,12,Retail,Occitanie,AA,24,Watch List,2023-12-07,Expired,"Revolving_Credit,Term_Loan,Trade_Finance",40
CORP0228_L1,CORP0228,RM_E,Term Loan,29750000.0,20049300.0,0.0,6.34,2022-02-17,2027-01-22,13,Real Estate,Nouvelle-Aquitaine,B,0,Performing,2025-02-27,Valid,"FX_Hedging,Trade_Finance",60
CORP0274_L2,CORP0274,RM_C,Revolving Credit,24340000.0,13053000.0,50.92,3.43,2025-03-12,2029-02-19,38,Real Estate,Nouvelle-Aquitaine,CCC,0,Performing,2025-11-18,Valid,"Revolving_Credit,Term_Loan",60
CORP0006_L1,CORP0006,RM_E,Term Loan,17520000.0,11940200.0,0.0,8.18,2025-08-25,2032-07-19,80,Retail,Provence-Alpes-Côte d'Azur,B,0,Performing,2023-12-10,Expired,"Term_Loan,FX_Hedging",60
CORP0245_L2,CORP0245,RM_D,Term Loan,38410000.0,33753900.0,0.0,5.79,2022-05-08,2024-04-27,-21,Transportation,Île-de-France,BB,0,Performing,2024-12-03,Valid,"Term_Loan,FX_Hedging,Revolving_Credit",40
CORP0097_L2,CORP0097,RM_E,Revolving Credit,20040000.0,9979200.0,36.54,2.98,2022-01-28,2026-01-07,0,Financial Services,Hauts-de-France,CCC,0,Performing,2024-06-16,Valid,Revolving_Credit,80
CORP0321_L1,CORP0321,RM_A,Revolving Credit,14590000.0,12339600.0,25.13,3.32,2024-03-10,2028-02-18,26,Retail,Hauts-de-France,A,0,Performing,2023-05-27,Expired,"Cash_Management,Term_Loan",60
CORP0057_L3,CORP0057,RM_D,Revolving Credit,31080000.0,17506800.0,21.45,2.8,2022-03-16,2026-02-23,2,Transportation,Île-de-France,A,0,Performing,2023-01-24,Expired,"Term_Loan,Revolving_Credit,FX_Hedging,Trade_Finance",20
CORP0274_L1,CORP0274,RM_C,Term Loan,48630000.0,27683500.0,0.0,2.55,2024-12-29,2031-11-23,72,Real Estate,Nouvelle-Aquitaine,CCC,0,Performing,2025-11-18,Valid,"Revolving_Credit,Term_Loan",60
CORP0047_L1,CORP0047,RM_D,Term Loan,24930000.0,15086300.0,0.0,5.28,2023-12-13,2027-11-22,23,Real Estate,Hauts-de-France,BB,70,Medium Risk,2022-12-17,Expired,"Term_Loan,FX_Hedging,Revolving_Credit",40
CORP0406_L1,CORP0406,RM_C,Revolving Credit,4470000.0,3801000.0,49.43,5.76,2024-11-16,2025-11-11,-2,Manufacturing,Île-de-France,BB,0,Performing,2023-04-11,Expired,"Term_Loan,FX_Hedging",60
CORP0093_L1,CORP0093,RM_E,Revolving Credit,40950000.0,36730200.0,77.84,5.16,2025-01-05,2031-11-30,72,Transportation,Provence-Alpes-Côte d'Azur,BB,0,Performing,2024-11-09,Valid,"Term_Loan,Revolving_Credit,Cash_Management,FX_Hedging",20
CORP0378_L1,CORP0378,RM_A,Term Loan,23310000.0,20107100.0,0.0,5.34,2022-10-10,2029-09-03,45,Real Estate,Provence-Alpes-Côte d'Azur,BBB,35,Watch List,2024-07-07,Valid,Term_Loan,80
CORP0349_L2,CORP0349,RM_D,Revolving Credit,8350000.0,6988500.0,56.09,4.29,2022-08-13,2027-07-18,19,Real Estate,Auvergne-Rhône-Alpes,BBB,0,Performing,2025-07-27,Valid,Cash_Management,80
CORP0185_L1,CORP0185,RM_C,Term Loan,48680000.0,26364100.0,0.0,7.27,2023-04-06,2026-03-21,3,Technology,Île-de-France,A,0,Performing,2024-03-07,Expiring Soon,Cash_Management,80
CORP0300_L1,CORP0300,RM_E,Revolving Credit,39560000.0,16036000.0,55.65,6.08,2025-06-17,2030-05-22,53,Real Estate,Île-de-France,B,0,Performing,2024-08-09,Valid,"Trade_Finance,Revolving_Credit",60
CORP0191_L1,CORP0191,RM_E,Term Loan,8310000.0,3779700.0,0.0,8.48,2022-03-25,2025-03-09,-10,Manufacturing,Hauts-de-France,BBB,4,Grace Period,2023-02-14,Expired,Trade_Finance,80
CORP0321_L1,CORP0321,RM_A,Term Loan,18100000.0,8911600.0,0.0,3.9,2022-09-09,2023-09-04,-28,Retail,Hauts-de-France,A,0,Performing,2023-05-27,Expired,"Cash_Management,Term_Loan",60
CORP0286_L3,CORP0286,RM_D,Revolving Credit,40370000.0,26774600.0,46.86,3.31,2024-08-12,2025-08-07,-5,Manufacturing,Occitanie,BBB,0,Performing,2024-09-13,Valid,"Term_Loan,FX_Hedging,Trade_Finance",40
CORP0461_L1,CORP0461,RM_C,Revolving Credit,35480000.0,26092500.0,62.5,5.76,2022-08-27,2029-07-21,43,Real Estate,Occitanie,BB,0,Performing,2023-04-15,Expired,"Revolving_Credit,Term_Loan,Trade_Finance,Cash_Management",20
CORP0166_L3,CORP0166,RM_D,Revolving Credit,14130000.0,12700200.0,31.63,4.27,2022-08-03,2024-07-23,-18,Healthcare,Hauts-de-France,BB,0,Performing,2024-02-27,Expiring Soon,"Revolving_Credit,Trade_Finance,Term_Loan",40
CORP0135_L3,CORP0135,RM_E,Revolving Credit,22980000.0,19890400.0,86.22,6.22,2022-11-10,2026-10-20,10,Manufacturing,Auvergne-Rhône-Alpes,CCC,0,Performing,2025-09-07,Valid,"Revolving_Credit,FX_Hedging,Cash_Management",40
CORP0187_L3,CORP0187,RM_A,Term Loan,16370000.0,7170100.0,0.0,6.6,2022-09-04,2026-08-14,7,Retail,Île-de-France,A,0,Performing,2025-02-16,Valid,"Term_Loan,Cash_Management,FX_Hedging,Revolving_Credit",20
CORP0393_L3,CORP0393,RM_D,Term Loan,30850000.0,18311300.0,0.0,5.64,2022-02-07,2025-01-22,-12,Energy,Provence-Alpes-Côte d'Azur,BBB,0,Performing,2024-01-30,Expiring Soon,"Cash_Management,Revolving_Credit,Term_Loan",40
CORP0035_L1,CORP0035,RM_A,Term Loan,9340000.0,3911300.0,0.0,2.69,2025-02-04,2029-01-14,37,Retail,Hauts-de-France,AA,0,Performing,2024-10-09,Valid,"Revolving_Credit,Cash_Management,Term_Loan",40
CORP0329_L2,CORP0329,RM_B,Revolving Credit,26530000.0,21775500.0,65.45,2.93,2024-04-05,2025-03-31,-9,Energy,Provence-Alpes-Côte d'Azur,A,0,Performing,2025-10-14,Valid,"Cash_Management,FX_Hedging,Term_Loan,Revolving_Credit",20
CORP0477_L1,CORP0477,RM_A,Revolving Credit,46460000.0,41779000.0,61.85,8.13,2023-01-27,2029-12-21,48,Energy,Auvergne-Rhône-Alpes,BBB,0,Performing,2024-02-29,Expiring Soon,"Trade_Finance,Revolving_Credit,FX_Hedging,Cash_Management",20
CORP0213_L2,CORP0213,RM_A,Term Loan,41270000.0,23090100.0,0.0,4.32,2025-06-20,2032-05-14,77,Real Estate,Île-de-France,BBB,0,Performing,2024-04-06,Valid,"Revolving_Credit,Cash_Management",60
CORP0484_L1,CORP0484,RM_E,Term Loan,5510000.0,2967700.0,0.0,6.44,2023-07-15,2025-07-04,-6,Transportation,Provence-Alpes-Côte d'Azur,B,0,Performing,2023-10-15,Expired,"FX_Hedging,Cash_Management",60
CORP0292_L3,CORP0292,RM_E,Term Loan,28140000.0,20679700.0,0.0,6.55,2025-02-07,2032-01-02,73,Retail,Occitanie,A,0,Performing,2025-03-08,Valid,FX_Hedging,80
CORP0360_L3,CORP0360,RM_A,Revolving Credit,44200000.0,22103800.0,45.31,3.45,2024-09-07,2029-08-12,44,Energy,Île-de-France,B,0,Performing,2025-11-24,Valid,"Term_Loan,Trade_Finance",60
CORP0308_L2,CORP0308,RM_C,Revolving Credit,45170000.0,32976300.0,67.49,7.46,2023-11-17,2026-11-01,10,Energy,Auvergne-Rhône-Alpes,A,0,Performing,2025-02-07,Valid,"Trade_Finance,Term_Loan,Revolving_Credit,Cash_Management",20
CORP0166_L3,CORP0166,RM_D,Term Loan,28380000.0,14994800.0,0.0,8.27,2022-08-12,2029-07-06,43,Healthcare,Hauts-de-France,BB,0,Performing,2024-02-27,Expiring Soon,"Revolving_Credit,Trade_Finance,Term_Loan",40
CORP0230_L2,CORP0230,RM_C,Term Loan,36450000.0,36077300.0,0.0,8.46,2022-05-10,2023-05-05,-33,Real Estate,Hauts-de-France,A,0,Performing,2024-04-16,Valid,"FX_Hedging,Trade_Finance,Cash_Management",40
CORP0155_L1,CORP0155,RM_D,Revolving Credit,49230000.0,26037400.0,90.75,7.43,2023-12-07,2024-12-01,-13,Energy,Hauts-de-France,BBB,0,Performing,2024-03-28,Valid,Revolving_Credit,80
CORP0471_L3,CORP0471,RM_E,Term Loan,5170000.0,3496100.0,0.0,7.84,2024-10-27,2026-10-17,10,Healthcare,Nouvelle-Aquitaine,BB,0,Performing,2023-04-26,Expired,"Trade_Finance,Term_Loan,FX_Hedging",40
CORP0128_L1,CORP0128,RM_A,Revolving Credit,40650000.0,18501600.0,75.07,6.84,2023-06-16,2028-05-20,29,Manufacturing,Hauts-de-France,BBB,4,Grace Period,2024-07-01,Valid,"Cash_Management,Term_Loan,FX_Hedging,Trade_Finance",20
CORP0406_L2,CORP0406,RM_C,Term Loan,24670000.0,23175400.0,0.0,4.3,2022-06-19,2023-06-14,-31,Manufacturing,Île-de-France,BB,0,Performing,2023-04-11,Expired,"Term_Loan,FX_Hedging",60
CORP0375_L3,CORP0375,RM_C,Revolving Credit,4380000.0,1899000.0,52.57,8.08,2023-10-28,2026-10-12,9,Manufacturing,Auvergne-Rhône-Alpes,BBB,4,Grace Period,2025-09-10,Valid,"Cash_Management,Revolving_Credit,Term_Loan",40
CORP0062_L1,CORP0062,RM_D,Term Loan,31880000.0,24844600.0,0.0,4.42,2025-05-24,2028-05-08,28,Real Estate,Hauts-de-France,BBB,0,Performing,2024-10-22,Valid,"Trade_Finance,Term_Loan,Cash_Management,Revolving_Credit",20
